순위,영화명,개봉일,매출액,가중치,매출액 점유율,관객수,스크린수,상영횟수,대표국적,제작국적,배급사,"장르","등급","러닝타임","수상횟수","관람평점","남자 평점","여자 평점"
22,소원,2013-10-02,"18,529,862,600","173,068,916,684.00",1.20%,"2,711,083",651,"72,329",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12,122,7,9.34,9.08,9.58
23,퍼시픽 림,2013-07-11,"20,477,374,512","157,266,236,252.16",1.40%,"2,539,113","1,005","55,655",미국,미국,워너브러더스 코리아(주),액션,12,131,0,7.68,7.76,7.6
24,화이: 괴물을 삼킨 아이,2013-10-09,"17,695,412,795","138,732,036,312.80",1.20%,"2,394,453",817,"59,049",한국,한국,(주)쇼박스,액션,19,126,6,7.84,7.02,8.71
25,컨저링,2013-09-17,"16,353,225,777","128,536,354,607.22",1.10%,"2,262,758",563,"48,616",미국,미국,워너브러더스 코리아(주),공포,15,112,1,7.86,7.81,8.06
26,맨 오브 스틸,2013-06-13,"17,092,964,063","135,889,064,300.85",1.10%,"2,182,227",998,"55,514",미국,미국,워너브러더스 코리아(주),액션,12,143,1,7.95,8.23,7.11
27,용의자,2013-12-24,"15,629,492,500","129,255,902,975.00",1.00%,"2,176,752",807,"26,814",한국,한국,(주)쇼박스,액션,15,137,0,8.27,8.16,8.43
28,호빗: 스마우그의 폐허,2013-12-12,"16,564,184,549","144,108,405,576.30",1.10%,"2,115,878",811,"35,223",미국,"미국,뉴질랜드",워너브러더스 코리아(주),판타지,12,161,2,8.7,8.45,8.92
29,몽타주,2013-05-16,"15,002,458,500","128,421,044,760.00",1.00%,"2,095,592",544,"53,195",한국,한국,(주)넥스트엔터테인먼트월드(NEW),공포,15,120,1,8.56,8.24,9.06
30,터보,2013-07-25,"13,116,737,000","118,706,469,850.00",0.90%,"1,924,414",634,"28,783",미국,미국,(주)씨제이이엔엠,애니메이션,0,95,0,9.05,9.06,9.21
31,연애의 온도,2013-03-21,"13,798,864,446","103,215,506,056.08",0.90%,"1,865,195",567,"57,847",한국,한국,롯데쇼핑㈜롯데엔터테인먼트,로맨스,19,112,3,7.48,6.5,8.34
